study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB5348	SAMEA2400697	ERX424840	ERR458493	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458493/ERR458493.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458493/120903_0219_D0PT7ACXX_1_SA-PE-039.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458493
PRJEB5348	SAMEA2400698	ERX424841	ERR458494	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458494/ERR458494.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458494/120903_0219_D0PT7ACXX_2_SA-PE-039.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458494
PRJEB5348	SAMEA2400699	ERX424842	ERR458495	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458495/ERR458495.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458495/120903_0219_D0PT7ACXX_3_SA-PE-039.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458495
PRJEB5348	SAMEA2400699	ERX424843	ERR458496	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458496/ERR458496.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458496/120903_0219_D0PT7ACXX_4_SA-PE-039.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458496
PRJEB5348	SAMEA2400701	ERX424844	ERR458497	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458497/ERR458497.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458497/120903_0219_D0PT7ACXX_5_SA-PE-039.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458497
PRJEB5348	SAMEA2400702	ERX424845	ERR458498	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458498/ERR458498.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458498/120903_0219_D0PT7ACXX_6_SA-PE-039.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458498
PRJEB5348	SAMEA2400703	ERX424846	ERR458499	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458499/ERR458499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458499/120903_0219_D0PT7ACXX_7_SA-PE-039.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458499
PRJEB5348	SAMEA2400704	ERX424847	ERR458500	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458500/ERR458500.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458500/120903_0219_D0PT7ACXX_1_SA-PE-096.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458500
PRJEB5348	SAMEA2400705	ERX424848	ERR458501	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458501/ERR458501.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458501/120903_0219_D0PT7ACXX_2_SA-PE-096.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458501
PRJEB5348	SAMEA2400706	ERX424849	ERR458502	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458502/ERR458502.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458502/120903_0219_D0PT7ACXX_3_SA-PE-096.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458502
PRJEB5348	SAMEA2400707	ERX424850	ERR458503	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458503/ERR458503.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458503/120903_0219_D0PT7ACXX_4_SA-PE-096.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458503
PRJEB5348	SAMEA2400708	ERX424851	ERR458504	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458504/ERR458504.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458504/120903_0219_D0PT7ACXX_5_SA-PE-096.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458504
PRJEB5348	SAMEA2400709	ERX424852	ERR458505	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458505/ERR458505.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458505/120903_0219_D0PT7ACXX_6_SA-PE-096.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458505
PRJEB5348	SAMEA2400710	ERX424853	ERR458506	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458506/ERR458506.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458506/120903_0219_D0PT7ACXX_7_SA-PE-096.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458506
PRJEB5348	SAMEA2400711	ERX424854	ERR458507	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458507/ERR458507.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458507/120903_0219_D0PT7ACXX_1_SA-PE-021.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458507
PRJEB5348	SAMEA2400712	ERX424855	ERR458508	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458508/ERR458508.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458508/120903_0219_D0PT7ACXX_2_SA-PE-021.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458508
